sample_index,filepath,source_word,true_label,condition,snr_db,transcript_raw,transcript_normalized,transcript_non_empty,asr_latency_sec,total_latency_sec,peak_normalized,peak_before_normalization,asr_failed,error
0,dataset/raw/movement/follow/18f8afd5_nohash_1.wav,follow,movement,snr_m10db,-10.0,,,0,0.165453,0.165818,1,1.117339,0,
1,dataset/raw/emergency/yes/834f03fe_nohash_1.wav,yes,emergency,snr_m10db,-10.0,Yes!,yes,1,0.055431,0.055852,0,0.970815,0,
2,dataset/raw/unknown/happy/d1453a87_nohash_2.wav,happy,unknown,snr_m10db,-10.0,Happy,happy,1,0.053297,0.053613,0,0.249848,0,
3,dataset/raw/emergency/yes/a04817c2_nohash_2.wav,yes,emergency,snr_m10db,-10.0,Yeah!,yeah,1,0.055704,0.055987,1,1.195490,0,
4,dataset/raw/movement/left/64df20d8_nohash_2.wav,left,movement,snr_m10db,-10.0,You did it.,you did it,1,0.060011,0.060234,0,0.706723,0,
5,dataset/raw/unknown/two/a7216980_nohash_2.wav,two,unknown,snr_m10db,-10.0,Cheers!,cheers,1,0.058280,0.058572,1,1.573325,0,
6,dataset/raw/emergency/yes/9db2bfe9_nohash_2.wav,yes,emergency,snr_m10db,-10.0,Yeah.,yeah,1,0.060390,0.060761,0,0.825754,0,
7,dataset/raw/emergency/yes/0d82fd99_nohash_0.wav,yes,emergency,snr_m10db,-10.0,Yes.,yes,1,0.067054,0.067715,1,1.026122,0,
8,dataset/raw/unknown/one/5a5721f8_nohash_4.wav,one,unknown,snr_m10db,-10.0,,,0,0.058560,0.059005,1,1.516103,0,
9,dataset/raw/movement/up/e1469561_nohash_4.wav,up,movement,snr_m10db,-10.0,,,0,0.054626,0.055185,1,1.168441,0,
10,dataset/raw/movement/right/2dc4f05d_nohash_0.wav,right,movement,snr_m10db,-10.0,Great.,great,1,0.061599,0.062227,1,1.416886,0,
11,dataset/raw/emergency/no/893705bb_nohash_11.wav,no,emergency,snr_m10db,-10.0,,,0,0.055417,0.055890,0,0.414167,0,
12,dataset/raw/unknown/four/ac9dee0e_nohash_0.wav,four,unknown,snr_m10db,-10.0,Hey!,hey,1,0.051799,0.052087,1,1.146221,0,
13,dataset/raw/emergency/backward/ab9b93e4_nohash_1.wav,backward,emergency,snr_m10db,-10.0,,,0,0.055751,0.055981,1,1.715744,0,
14,dataset/raw/unknown/three/74b73f88_nohash_0.wav,three,unknown,snr_m10db,-10.0,,,0,0.060151,0.060576,0,0.235486,0,
15,dataset/raw/movement/go/3102f006_nohash_1.wav,go,movement,snr_m10db,-10.0,,,0,0.063132,0.063741,1,2.042320,0,
16,dataset/raw/unknown/six/acfd5b5e_nohash_3.wav,six,unknown,snr_m10db,-10.0,Check it out.,check it out,1,0.065314,0.065705,1,1.442192,0,
17,dataset/raw/movement/up/0135f3f2_nohash_1.wav,up,movement,snr_m10db,-10.0,,,0,0.056572,0.056885,0,0.425420,0,
18,dataset/raw/emergency/yes/5a5721f8_nohash_3.wav,yes,emergency,snr_m10db,-10.0,,,0,0.060009,0.060295,1,1.129876,0,
19,dataset/raw/emergency/no/b8872c20_nohash_1.wav,no,emergency,snr_m10db,-10.0,,,0,0.083513,0.083792,1,1.866237,0,
20,dataset/raw/emergency/stop/e1936ce8_nohash_0.wav,stop,emergency,snr_m10db,-10.0,Just go.,just go,1,0.063528,0.063852,0,0.480108,0,
21,dataset/raw/emergency/wow/65d844fc_nohash_1.wav,wow,emergency,snr_m10db,-10.0,,,0,0.061310,0.061843,1,1.223856,0,
22,dataset/raw/emergency/no/d7a58714_nohash_0.wav,no,emergency,snr_m10db,-10.0,,,0,0.060255,0.060648,1,2.108075,0,
23,dataset/raw/unknown/nine/8769c34c_nohash_3.wav,nine,unknown,snr_m10db,-10.0,,,0,0.063759,0.064025,0,0.864102,0,
24,dataset/raw/movement/down/ed032775_nohash_2.wav,down,movement,snr_m10db,-10.0,,,0,0.059897,0.060516,0,0.442825,0,
25,dataset/raw/movement/on/3ca784ec_nohash_0.wav,on,movement,snr_m10db,-10.0,Oh my god.,oh my god,1,0.067786,0.068202,1,1.425549,0,
26,dataset/raw/emergency/yes/b7a0754f_nohash_1.wav,yes,emergency,snr_m10db,-10.0,Yes!,yes,1,0.063537,0.063790,0,0.772670,0,
27,dataset/raw/emergency/no/3a69f765_nohash_1.wav,no,emergency,snr_m10db,-10.0,,,0,0.061500,0.061929,1,1.368415,0,
28,dataset/raw/movement/left/3d794813_nohash_4.wav,left,movement,snr_m10db,-10.0,,,0,0.064632,0.064954,1,1.245310,0,
29,dataset/raw/unknown/eight/3e2ba5f7_nohash_0.wav,eight,unknown,snr_m10db,-10.0,Thank you.,thank you,1,0.064633,0.064905,1,1.687102,0,
