language,dataset_name,count_source,license,source_url,emergency_labels,normal_labels,semantic_match_level,usable_sample_estimate,risks,recommendation,notes
Italian,EMOZIONALMENTE,estimated,CC BY 4.0,https://audeering.github.io/datasets/datasets/emozionalmente.html,anger|fear,neutral|calm,strict,"emergency≈1900-2100; normal≈900-1100; total≈2800-3200","acted speech domain shift; per-class exact counts pending local scan",go,"Tier-1; contract-compatible; estimated sample above threshold"
Italian,EMOZIONALMENTE,scanned,CC BY 4.0,https://audeering.github.io/datasets/datasets/emozionalmente.html,anger|fear,neutral|calm,strict,not_scanned_yet,"scan pending",hold,"No scanned counts yet; keep hold in scanned track"
German,EMO-DB,estimated,CC0-1.0,https://audeering.github.io/datasets/datasets/emodb.html,anger|fear,neutral,strict,"emergency≈150-220; normal≈60-90; total≈210-310","small corpus; acted speech domain shift",go,"Tier-1; strict mapping; estimated sample meets minimum gate"
German,EMO-DB,scanned,CC0-1.0,https://audeering.github.io/datasets/datasets/emodb.html,anger|fear,neutral,strict,not_scanned_yet,"scan pending",hold,"No scanned counts yet; keep hold in scanned track"
French,CaFE,estimated,CC BY-NC-SA 4.0,https://doi.org/10.5281/zenodo.1219621,anger|fear,neutral,strict,"emergency=288; normal=72; total=360","non-commercial license; acted speech domain shift",go,"Tier-2 backup; strict mapping and sample threshold satisfied"
French,CaFE,scanned,CC BY-NC-SA 4.0,https://doi.org/10.5281/zenodo.1219621,anger|fear,neutral,strict,not_scanned_yet,"scan pending",hold,"No scanned counts yet; keep hold in scanned track"
Chinese (Mandarin),ESD(ZH),estimated,research-only data license (repo MIT code),https://github.com/HLTSingapore/Emotional-Speech-Data,anger,neutral,partial,"emergency=3500; normal=3500; total=7000","missing fear for strict mapping; license dual-track",hold,"Partial semantic match; bridge-only"
Chinese (Mandarin),ESD(ZH),scanned,research-only data license (repo MIT code),https://github.com/HLTSingapore/Emotional-Speech-Data,anger,neutral,partial,not_scanned_yet,"scan pending",hold,"Partial semantic match and no scanned counts"
Portuguese (Brazil),EmoUERJ,estimated,ODbL-1.0,https://audeering.github.io/datasets/datasets/emouerj.html,anger,neutral,partial,"emergency≈150-250; normal≈150-250; total≈300-500","missing fear for strict mapping; acted speech domain shift",hold,"Partial semantic match; bridge-only"
Portuguese (Brazil),EmoUERJ,scanned,ODbL-1.0,https://audeering.github.io/datasets/datasets/emouerj.html,anger,neutral,partial,not_scanned_yet,"scan pending",hold,"Partial semantic match and no scanned counts"
