language,dataset_name,sample_id,sentence_id,source_text_for_gloss,english_gloss,gloss_source,gloss_confidence,strict_eligible,notes
Quechua,quechua,audios/10001.wav,A069,Yo no he visto,I have not seen,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10002.wav,B159,Cada niño tiene dos pies y dos manos.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10003.wav,A211,Despreció tal comportamiento y lo consideró indigno de un miembro del Consejo y un viceministro.,He despised such behavior and considered it unworthy of a member of the Council and a deputy minister.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10004.wav,B221,Las comunidades campesinas siempre estan reclamando por sus derechos.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10005.wav,H089,Lo que he dicho voy a aclarar,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10006.wav,B094,"Los toros poseen dos cuernos, en cambio los venados tienen cuatro",NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10007.wav,A062,La espina penetró en mi mano,The thorn penetrated my hand,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10008.wav,B162,Ovíllame este hilo poniéndolo de dos.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10009.wav,S215,Hay personas que pueden aprender más de sí mismas que de otras.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10010.wav,S112,Tal vez la cosa que sea más importante para las personas es que sean felices con ellos mismos.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10011.wav,S184,Vienes al techado (de casa),NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10012.wav,A137,Esa lana blanca voy a teñirla a rojo.,I'm going to dye that white wool red.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10013.wav,A170,Los sabios ayudaban a gobernar a los Incas,The wise men helped govern the Incas,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10014.wav,A158,La granadilla crece enredándose a los árboles vecinos.,The passion fruit grows by entangling neighboring trees.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10015.wav,B080,Esta racacha se parece a la yuca.,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10016.wav,A135,Desmenuza las hojas secas de la chicchipa y échalas a la olla y bota los tallitos,Crumble the dry leaves of the chicchipa and add them to the pot and throw away the stems.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10017.wav,A020,Fiesta,Party,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10018.wav,H105,Tu agradecimiento estuvo bien,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10019.wav,A116,Nunca debemos burlarnos de las personas que tienen alguna luxación,We should never make fun of people who have a dislocation,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10020.wav,S179,Voltearé la tierra con el tirapie,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
Quechua,quechua,audios/10021.wav,A198,Es horrible que los padres abusen de sus propios hijos.,It is horrible that parents abuse their own children.,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10022.wav,H020,Hoja,Sheet,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10023.wav,A002,Agresor,Aggressor,quechua.misc_sentence.translation.spa + googletranslate(es->en),medium,1,translated in priority batch
Quechua,quechua,audios/10024.wav,S158,Mi mamá y mi papá caminan hacia el pueblo,NA,quechua.misc_sentence.translation.spa + googletranslate(es->en),low,0,not_translated_priority_cap_250
